# Histogrammed data for fix 14
# TimeStep Number-of-bins Total-counts Missing-counts Min-value Max-value
# Bin Coord Count Count/Total
704 36.175 7580.19 7.65136e-06
705 36.225 11189.8 1.12949e-05
706 36.275 1551.27 1.56583e-06
707 36.325 16865.3 1.70236e-05
708 36.375 6570.21 6.63189e-06
709 36.425 6851.86 6.91619e-06
710 36.475 3726.13 3.76111e-06
711 36.525 12413.9 1.25304e-05
712 36.575 9804.15 9.8962e-06
713 36.625 5396.97 5.44764e-06
714 36.675 11834.2 1.19454e-05
715 36.725 5784.3 5.83861e-06
716 36.775 10683.9 1.07842e-05
717 36.825 646.035 6.52101e-07
718 36.875 10721 1.08217e-05
719 36.925 7943.93 8.01851e-06
720 36.975 7570.1 7.64118e-06
721 37.025 6641.36 6.70371e-06
722 37.075 9384.14 9.47224e-06
723 37.125 7905.79 7.98001e-06
724 37.175 9961.57 1.00551e-05
725 37.225 8644.99 8.72615e-06
726 37.275 11284.5 1.13905e-05
727 37.325 13747.9 1.38769e-05
728 37.375 1472.87 1.4867e-06
729 37.425 11524 1.16322e-05
730 37.475 3675.26 3.70976e-06
731 37.525 7608.85 7.68028e-06
732 37.575 5944.01 5.99982e-06
733 37.625 13769.9 1.38992e-05
734 37.675 8987.88 9.07227e-06
735 37.725 3772.27 3.80769e-06
736 37.775 12957.4 1.30791e-05
737 37.825 7820.14 7.89356e-06
738 37.875 7396.72 7.46617e-06
739 37.925 0 0
740 37.975 17147.9 1.73089e-05
741 38.025 9798.68 9.89068e-06
742 38.075 4301.95 4.34234e-06
743 38.125 6575.75 6.63749e-06
744 38.175 9614.4 9.70467e-06
745 38.225 12766.2 1.28861e-05
746 38.275 803.228 8.10769e-07
747 38.325 5894.09 5.94943e-06
748 38.375 14640.7 1.47782e-05
749 38.425 5451.18 5.50236e-06
750 38.475 7130.86 7.19781e-06
751 38.525 7447.42 7.51734e-06
752 38.575 15413.7 1.55585e-05
753 38.625 1150.25 1.16104e-06
754 38.675 11873.9 1.19854e-05
755 38.725 5773.82 5.82803e-06
756 38.775 8496.73 8.57651e-06
757 38.825 9062.07 9.14715e-06
758 38.875 8468.39 8.54789e-06
759 38.925 12096.8 1.22104e-05
760 38.975 387.128 3.90763e-07
761 39.025 13236.6 1.33609e-05
762 39.075 4888.22 4.93411e-06
763 39.125 9834.03 9.92636e-06
764 39.175 7757.8 7.83063e-06
765 39.225 6781.48 6.84515e-06
766 39.275 13675.5 1.38039e-05
767 39.325 1317.41 1.32978e-06
768 39.375 10686 1.07864e-05
769 39.425 7326.42 7.3952e-06
770 39.475 8252.7 8.33018e-06
771 39.525 9318.72 9.40621e-06
772 39.575 8092.26 8.16823e-06
